run_id,checked_at,check_name,category,severity,status,issue_count,max_allowed,description
8177dbaa-db71-4811-9d49-e3451930461d,2026-07-18T16:33:26.296382+00:00,raw_brands_expected_count,row_count,error,pass,0,0,raw.brands must contain 9 rows from source CSV.
8177dbaa-db71-4811-9d49-e3451930461d,2026-07-18T16:33:26.296382+00:00,raw_categories_expected_count,row_count,error,pass,0,0,raw.categories must contain 7 rows from source CSV.
8177dbaa-db71-4811-9d49-e3451930461d,2026-07-18T16:33:26.296382+00:00,raw_customers_expected_count,row_count,error,pass,0,0,raw.customers must contain 1445 rows from source CSV.
8177dbaa-db71-4811-9d49-e3451930461d,2026-07-18T16:33:26.296382+00:00,raw_orders_expected_count,row_count,error,pass,0,0,raw.orders must contain 1615 rows from source CSV.
8177dbaa-db71-4811-9d49-e3451930461d,2026-07-18T16:33:26.296382+00:00,raw_order_items_expected_count,row_count,error,pass,0,0,raw.order_items must contain 4722 rows from source CSV.
8177dbaa-db71-4811-9d49-e3451930461d,2026-07-18T16:33:26.296382+00:00,raw_products_expected_count,row_count,error,pass,0,0,raw.products must contain 321 rows from source CSV.
8177dbaa-db71-4811-9d49-e3451930461d,2026-07-18T16:33:26.296382+00:00,raw_staffs_expected_count,row_count,error,pass,0,0,raw.staffs must contain 10 rows from source CSV.
8177dbaa-db71-4811-9d49-e3451930461d,2026-07-18T16:33:26.296382+00:00,raw_stocks_expected_count,row_count,error,pass,0,0,raw.stocks must contain 939 rows from source CSV.
8177dbaa-db71-4811-9d49-e3451930461d,2026-07-18T16:33:26.296382+00:00,raw_stores_expected_count,row_count,error,pass,0,0,raw.stores must contain 3 rows from source CSV.
8177dbaa-db71-4811-9d49-e3451930461d,2026-07-18T16:33:26.296382+00:00,stg_brands_matches_raw_brands_count,row_count,error,pass,0,0,staging.stg_brands row count must match raw.brands.
8177dbaa-db71-4811-9d49-e3451930461d,2026-07-18T16:33:26.296382+00:00,stg_categories_matches_raw_categories_count,row_count,error,pass,0,0,staging.stg_categories row count must match raw.categories.
